isAfterCommit;commitId;comment_lines;complexity;lines;statements
false;d94541cbf3826c92c6372540e19103c4395c85a4;2118;2468;792621;4720
true;d94541cbf3826c92c6372540e19103c4395c85a4;2155;2530;792892;4811
false;ba9d177891b847af6d234f92cdeb42ef663b45cb;2122;2473;792638;4727
true;ba9d177891b847af6d234f92cdeb42ef663b45cb;2118;2468;792621;4720
false;c03f9ad60088470a6d07f14bdf790592f93c5772;2113;2409;792106;4633
true;c03f9ad60088470a6d07f14bdf790592f93c5772;2113;2408;792042;4625
false;a44f58f913d903de74998a6e4d957f408bdf8e65;2086;2326;795769;4613
true;a44f58f913d903de74998a6e4d957f408bdf8e65;2086;2326;795769;4613
false;6c0b7bc8b2311939ff5fc0e89f05c603c7fb39e5;2082;2287;795435;4530
true;6c0b7bc8b2311939ff5fc0e89f05c603c7fb39e5;2086;2324;795725;4609
false;e37931ba65922842db6d6bc124210f8762fa4d7d;2090;2411;796124;4526
true;e37931ba65922842db6d6bc124210f8762fa4d7d;2085;2354;795286;4405
false;c52cd713b0eeb4298e068532e8fe18cdbe3f06b3;2053;2411;795958;4507
true;c52cd713b0eeb4298e068532e8fe18cdbe3f06b3;2057;2400;795899;4507
false;691ed02f6352da17048dd14f742f7c82919e1455;2141;3268;804590;6305
true;691ed02f6352da17048dd14f742f7c82919e1455;2053;2410;795956;4505
false;4ff383fbbe6dddfc937a1611a7e34a43302e1d62;2102;3230;804285;6223
true;4ff383fbbe6dddfc937a1611a7e34a43302e1d62;2102;3235;804357;6233
false;4528bdc2d8c5636dea39ef52af6d5574224e1697;2231;2923;800070;5610
true;4528bdc2d8c5636dea39ef52af6d5574224e1697;2274;3042;800650;5821
false;dfdfba25a228de1f7e1c11849d9bbf021849c010;2235;2886;799875;5534
true;dfdfba25a228de1f7e1c11849d9bbf021849c010;2231;2919;800022;5605
false;6bf67386837d09a58668ba7d3c44d48d0f8680d0;2225;2797;799084;5405
true;6bf67386837d09a58668ba7d3c44d48d0f8680d0;2231;2861;799488;5491
false;23da6b6172b8740a318d0584b31146ba8030f6e8;2135;2609;734694;4894
true;23da6b6172b8740a318d0584b31146ba8030f6e8;2135;2617;734793;4908
false;7991646eff732248a25ba779650dab26249ee5b7;2128;2555;734328;4763
true;7991646eff732248a25ba779650dab26249ee5b7;2128;2569;734464;4803
false;d497777202f4907e9f0d5d3d69ab193cd1fad289;2128;2569;734464;4803
true;d497777202f4907e9f0d5d3d69ab193cd1fad289;2128;2569;734464;4803
false;ed1727ab86630105fbe7bdf7d5e26fbffc292972;2128;2569;734464;4803
true;ed1727ab86630105fbe7bdf7d5e26fbffc292972;2128;2569;734464;4803
false;f97456483cc84e006b17e03dd416ef5734a8ba8f;2128;2569;734464;4803
true;f97456483cc84e006b17e03dd416ef5734a8ba8f;2128;2569;734464;4803
false;bfc61625d9bba9c5debf78ce19bd229b3a7925cb;2128;2569;734464;4803
true;bfc61625d9bba9c5debf78ce19bd229b3a7925cb;2128;2569;734464;4803
false;fbc0f2fca00506c54f204299824d143668636022;2128;2569;734464;4803
true;fbc0f2fca00506c54f204299824d143668636022;2128;2569;734464;4803
false;b242fb70b59d0de6da6d6958e421943b128f0cd3;2128;2569;734464;4803
true;b242fb70b59d0de6da6d6958e421943b128f0cd3;2128;2569;734464;4803
false;11af870f3084519f7f6f2b7a2d6a05e68f320c83;2128;2569;734464;4803
true;11af870f3084519f7f6f2b7a2d6a05e68f320c83;2128;2569;734464;4803
false;dc9d510c8ac9d071cc8f6d9987df58868ea976a3;2128;2569;734464;4803
true;dc9d510c8ac9d071cc8f6d9987df58868ea976a3;2128;2569;734464;4803
false;c1a7e94e65d47b8c371d9f9187d2f74ebd432317;2128;2569;734464;4803
true;c1a7e94e65d47b8c371d9f9187d2f74ebd432317;2128;2569;734464;4803
false;a5ba851c8838344e84f093a4cd705e3156d34bfd;2128;2569;734464;4803
true;a5ba851c8838344e84f093a4cd705e3156d34bfd;2128;2569;734464;4803
false;e5c193a76c68a7868d72e63a72156682354783c3;2128;2569;734464;4803
true;e5c193a76c68a7868d72e63a72156682354783c3;2128;2569;734464;4803
false;02eb6a695c831aace422507fb5b7d332f1f8f3d5;2128;2569;734464;4803
true;02eb6a695c831aace422507fb5b7d332f1f8f3d5;2128;2569;734464;4803
false;476950ce400ff87c14d9d9de73750bf410c32f8d;2128;2569;734464;4803
