isAfterCommit;commitId;comment_lines;complexity;lines;statements
false;0000b80448fcf74b1e1e75a3ade0175e6b7cb8f1;2925;11469;75254;30012
true;0000b80448fcf74b1e1e75a3ade0175e6b7cb8f1;2925;11469;75254;30012
false;000370031acb4665371edd382e9bed0ee85d8c25;83;191;1061;324
true;000370031acb4665371edd382e9bed0ee85d8c25;72;172;958;280
false;004b19b53bb0c5762b3972101949667fe7fe7003;204;1279;8185;4489
true;004b19b53bb0c5762b3972101949667fe7fe7003;210;1300;8327;4575
false;02bb265a0c11377737643d1575ed323803cb2554;60;148;830;258
true;02bb265a0c11377737643d1575ed323803cb2554;63;160;902;279
false;02fac57479f6e314fd74d11ad039e02ba61875a5;347;1663;11163;5912
true;02fac57479f6e314fd74d11ad039e02ba61875a5;338;1667;11152;5906
false;034e63314ea35bbcea7c9a6996f60baff5e62de0;338;1667;11152;5906
true;034e63314ea35bbcea7c9a6996f60baff5e62de0;338;1667;11152;5906
false;06b987a21dea208d113151d047112762ecbbe6c4;338;1667;11152;5906
true;06b987a21dea208d113151d047112762ecbbe6c4;338;1667;11152;5906
false;08b2661a9e8384ff0eeabbf4c4f339164e0bcc92;338;1667;11152;5906
true;08b2661a9e8384ff0eeabbf4c4f339164e0bcc92;338;1667;11152;5906
false;101c726c77c3dd119bd5e7fbfa7d5c226d4b6ca3;338;1667;11152;5906
true;101c726c77c3dd119bd5e7fbfa7d5c226d4b6ca3;338;1667;11152;5906
false;15384062a84bc94d6249002fb24006f70600404e;338;1667;11152;5906
true;15384062a84bc94d6249002fb24006f70600404e;338;1667;11152;5906
false;181fd626ff193bc277f4ae72024292e0b56ac063;338;1667;11152;5906
true;181fd626ff193bc277f4ae72024292e0b56ac063;338;1667;11152;5906
false;1b37624456f4d01017535b616ccf78f3373d4b84;338;1667;11152;5906
true;1b37624456f4d01017535b616ccf78f3373d4b84;338;1667;11152;5906
false;1d5d0788a3315d8dce88d536276cdaa3f089c6b6;338;1667;11152;5906
true;1d5d0788a3315d8dce88d536276cdaa3f089c6b6;338;1667;11152;5906
false;1d916a375b54d4645a280332c88c18f61a93f68a;338;1667;11152;5906
true;1d916a375b54d4645a280332c88c18f61a93f68a;338;1667;11152;5906
false;1d986a17b6f7de4d6e3849187dd906ce103d5651;338;1667;11152;5906
true;1d986a17b6f7de4d6e3849187dd906ce103d5651;338;1667;11152;5906
false;1fa5df1ad23207202920c97f4b2e4783c7cb01e9;338;1667;11152;5906
true;1fa5df1ad23207202920c97f4b2e4783c7cb01e9;338;1667;11152;5906
false;1fca58d212e1cf3f9a436f4b981bf79c1957643b;338;1667;11152;5906
true;1fca58d212e1cf3f9a436f4b981bf79c1957643b;338;1667;11152;5906
false;20542430b47242bd25d81fe4ddd59f5e68bc05cf;338;1667;11152;5906
true;20542430b47242bd25d81fe4ddd59f5e68bc05cf;338;1667;11152;5906
